iter	Logloss
0	0.680181524
1	0.6686138526
2	0.6587226969
3	0.6479963388
4	0.6383049278
5	0.628898004
6	0.6201579758
7	0.6100663023
8	0.6010181901
9	0.5922087335
10	0.5854713431
11	0.579027054
12	0.572786154
13	0.5658414355
14	0.5592520315
15	0.5533780787
16	0.5482588562
17	0.5427549061
18	0.5379846294
19	0.5330331984
20	0.5281757866
21	0.5234792454
22	0.5175688482
23	0.5126317005
24	0.5088257646
25	0.503827913
26	0.4996365868
27	0.4962733951
28	0.4925809154
29	0.4889895229
30	0.4857089384
31	0.4829872049
32	0.479514275
33	0.4770157357
34	0.4737461214
35	0.471265878
36	0.4684509719
37	0.4665500839
38	0.4634178539
39	0.4609829635
40	0.4589887925
41	0.4565443676
42	0.45413543
43	0.4521051092
44	0.4499943161
45	0.4480291903
46	0.4456305234
47	0.4439292328
48	0.4425602488
49	0.4401745031
50	0.4384424741
51	0.437014811
52	0.435472072
53	0.4342133047
54	0.4327232812
55	0.4305394521
56	0.428560816
57	0.426995695
58	0.425870778
59	0.4243983509
60	0.4227886131
61	0.4215110346
62	0.4204228198
63	0.4191906311
64	0.4177617164
65	0.4166590342
66	0.4152688094
67	0.413683736
68	0.4125156011
69	0.411465524
70	0.4104035565
71	0.4092596443
72	0.4082845543
73	0.407254945
74	0.4057195316
75	0.4046591838
76	0.4034490091
77	0.4023479834
78	0.4014484695
79	0.4006544971
80	0.3993250498
81	0.3985794859
82	0.3973534449
83	0.3963444138
84	0.3958347077
85	0.3950734248
86	0.3943485495
87	0.3936310367
88	0.392381767
89	0.3916384855
90	0.390543902
91	0.3892485063
92	0.3881642672
93	0.3870145018
94	0.3862782514
95	0.3855838569
96	0.3849787695
97	0.3843361702
98	0.3838477048
99	0.3833105734
100	0.3826719866
101	0.3820960179
102	0.3812178553
103	0.379950069
104	0.3792874804
105	0.3787227764
106	0.3781017124
107	0.3774303625
108	0.3765099759
109	0.3759655187
110	0.3753290671
111	0.3747788304
112	0.374350848
113	0.3735432182
114	0.3726843453
115	0.3722101633
116	0.371729944
117	0.3711893521
118	0.3708894773
119	0.369980429
120	0.3692341656
121	0.3684065834
122	0.36764519
123	0.3666857086
124	0.3662095018
125	0.3656058869
126	0.3652985392
127	0.3646028931
128	0.3639063266
129	0.3630450977
130	0.3620170345
131	0.3613577959
132	0.3609538153
133	0.3605409261
134	0.3599092233
135	0.3594888979
136	0.3588735767
137	0.3583740676
138	0.3577945649
139	0.3571185398
140	0.3566648624
141	0.3562372481
142	0.3557402055
143	0.3553060755
144	0.3547147928
145	0.3541775509
146	0.3535676043
147	0.353258011
148	0.3528110702
149	0.3524141944
150	0.3519163419
151	0.3513894075
152	0.3508988439
