iter	Passed	Remaining
420	2311	3179
421	2316	3173
422	2325	3171
423	2331	3166
424	2337	3161
425	2344	3159
426	2349	3152
427	2356	3149
428	2362	3144
429	2367	3138
430	2375	3136
431	2381	3131
432	2388	3127
433	2393	3121
434	2398	3115
435	2405	3111
436	2409	3104
437	2414	3097
438	2421	3094
439	2425	3087
440	2432	3083
441	2438	3078
442	2442	3071
443	2448	3065
444	2453	3060
445	2457	3053
446	2463	3047
447	2468	3041
448	2472	3034
449	2478	3029
450	2484	3024
451	2489	3018
452	2495	3013
453	2501	3008
454	2505	3001
455	2510	2995
456	2515	2989
457	2520	2982
458	2525	2977
459	2530	2970
460	2534	2963
461	2540	2957
462	2544	2951
463	2548	2944
464	2553	2937
465	2559	2933
466	2564	2926
467	2570	2922
468	2576	2916
469	2581	2910
470	2587	2905
471	2593	2901
472	2602	2899
473	2608	2894
474	2612	2887
475	2618	2882
476	2623	2876
477	2628	2870
478	2633	2864
479	2639	2859
480	2643	2852
481	2649	2847
482	2653	2840
483	2658	2833
484	2662	2827
485	2667	2821
486	2672	2815
487	2676	2808
488	2681	2802
489	2687	2797
490	2691	2790
491	2696	2784
492	2701	2778
493	2706	2772
494	2710	2765
495	2716	2760
496	2721	2754
497	2727	2749
498	2733	2744
499	2738	2738
500	2742	2731
501	2746	2724
502	2751	2718
503	2755	2711
504	2761	2706
505	2766	2700
506	2771	2695
507	2777	2689
508	2781	2683
509	2787	2677
510	2806	2685
511	2830	2697
512	2844	2700
513	2850	2695
514	2857	2690
515	2864	2686
516	2876	2687
517	2882	2681
518	2893	2681
519	2901	2677
520	2907	2673
521	2927	2681
522	2932	2674
523	2938	2669
524	2944	2663
525	2950	2658
526	2958	2654
527	2970	2655
528	2983	2656
529	2992	2654
530	2999	2649
531	3004	2642
532	3009	2637
533	3015	2631
534	3021	2626
535	3026	2620
536	3032	2614
537	3036	2607
538	3040	2600
539	3046	2595
540	3050	2588
541	3055	2581
542	3060	2575
543	3065	2569
544	3069	2562
545	3074	2556
546	3079	2550
547	3083	2543
548	3087	2536
549	3093	2531
550	3098	2524
551	3103	2518
552	3108	2512
553	3113	2506
554	3117	2499
555	3121	2492
556	3126	2486
557	3131	2480
558	3135	2473
559	3140	2467
560	3145	2461
561	3149	2454
562	3153	2448
563	3158	2441
564	3163	2435
565	3168	2429
566	3173	2423
567	3177	2416
568	3182	2410
569	3187	2404
570	3192	2398
571	3197	2392
572	3202	2386
573	3207	2380
574	3211	2373
575	3215	2366
576	3220	2361
577	3225	2354
578	3230	2348
579	3236	2343
